timestamp,q0,qx,qy,qz
1770837252733551872,0.995344,0.001453,-0.024015,0.093339,1
1770837252833523200,0.995489,0.001419,-0.024011,0.091781,1
1770837253133434624,0.995859,0.001461,-0.023970,0.087686,1
1770837253633363456,0.996287,0.001346,-0.023899,0.082702,1
1770837253733335808,0.996345,0.001338,-0.023851,0.082011,1
1770837253833341952,0.996484,0.001264,-0.023815,0.080321,1
1770837253933344512,0.996489,0.001296,-0.023777,0.080271,1
1770837254133259264,0.996143,0.001452,-0.023631,0.084489,1
1770837254233220864,0.996298,0.001420,-0.023490,0.082680,1
1770837254333262592,0.996325,0.001401,-0.023427,0.082375,1
1770837254433280512,0.996351,0.001500,-0.023276,0.082107,1
1770837262233185536,0.996140,0.001131,-0.023498,0.084567,1
1770837262433216512,0.996142,0.001269,-0.023482,0.084550,1
1770837262533217280,0.996128,-0.003565,-0.024133,0.084463,1
1770837262833150208,0.996138,0.001284,-0.023478,0.084596,1
1770837262933115648,0.996292,0.001253,-0.023397,0.082783,1
1770837263033169152,0.996288,0.001251,-0.023353,0.082839,1
1770837263133162752,0.996284,0.001229,-0.023395,0.082887,1
1770837263233125632,0.996280,0.001238,-0.023409,0.082928,1
1770837263333168128,0.996273,-0.000726,-0.023779,0.082907,1
1770837263433145600,0.996233,-0.007741,-0.024750,0.082749,1
1770837263733220096,0.996320,-0.000957,-0.023761,0.082348,1
1770837263833194240,0.996320,0.001163,-0.023420,0.082438,1
1770837263933150976,0.996315,0.001167,-0.023418,0.082504,1
1770837264033191168,0.996309,0.001184,-0.023364,0.082587,1
1770837264133164800,0.996306,0.001236,-0.023270,0.082652,1
1770837264233126144,0.996302,0.001242,-0.023230,0.082711,1
1770837264333128704,0.996298,0.001248,-0.023264,0.082748,1
1770837264933078784,0.996271,0.001219,-0.023321,0.083061,1
1770837265033060864,0.996273,0.001228,-0.023310,0.083038,1
1770837265133025536,0.995414,0.001627,-0.023085,0.092821,1
1770837265233035776,0.995398,0.001593,-0.023089,0.092989,1
1770837265733064704,0.995353,0.001507,-0.023229,0.093443,1
1770837266432971008,0.995296,0.001512,-0.023186,0.094050,1
1770837266532969472,0.994916,0.001614,-0.023136,0.098002,1
1770837266633017856,0.994890,0.001634,-0.023084,0.098273,1
1770837266932948992,0.994861,0.000707,-0.023331,0.098527,1
1770837267032914944,0.994850,0.000599,-0.023348,0.098626,1
1770837267332773888,0.994821,0.001111,-0.023274,0.098932,1
1770837267432735744,0.994811,-0.000221,-0.023466,0.098999,1
1770837267532784128,0.994806,-0.000100,-0.023458,0.099053,1
1770837267632763648,0.994802,0.001023,-0.023280,0.099126,1
1770837267732729856,0.994881,0.001516,-0.023120,0.098364,1
1770837267832775936,0.994876,0.001514,-0.023126,0.098412,1
1770837267932770816,0.994871,0.001530,-0.023116,0.098464,1
1770837268032740608,0.994867,0.001549,-0.023107,0.098510,1
1770837268132784640,0.994862,0.001537,-0.023114,0.098558,1
1770837268232766208,0.994857,0.001536,-0.023117,0.098603,1
1770837268332744192,0.994852,0.001525,-0.023116,0.098651,1
1770837268432795392,0.994847,0.001519,-0.023130,0.098707,1
1770837268532775680,0.994844,0.001549,-0.023068,0.098751,1
1770837268632751616,0.994839,0.001553,-0.023067,0.098796,1
1770837268732801280,0.994834,0.001562,-0.023088,0.098839,1
1770837268832780032,0.994829,0.001555,-0.023089,0.098897,1
1770837268932751104,0.994824,0.001549,-0.023103,0.098942,1
1770837269032799232,0.994822,0.001607,-0.023001,0.098983,1
1770837269132778240,0.994826,0.002157,-0.022503,0.099044,1
1770837269232754688,0.994853,0.004817,-0.020515,0.099114,1
1770837269332804096,0.994856,0.005698,-0.019889,0.099160,1
1770837269432780800,0.994859,0.006952,-0.019020,0.099226,1
1770837269532749312,0.994857,0.007247,-0.018817,0.099262,1
1770837270632623616,0.994719,-0.005752,-0.024191,0.099583,1
1770837270732684032,0.994645,-0.009512,-0.024809,0.099875,1
1770837270832658176,0.994615,-0.011190,-0.025045,0.099940,1
1770837270932625152,0.994563,-0.016431,-0.025808,0.099537,1
1770837271032673536,0.995229,-0.018465,-0.025938,0.092224,1
1770837271132657920,0.995368,-0.015191,-0.025476,0.091449,1
1770837271232626432,0.995478,-0.009995,-0.024754,0.091169,1
1770837271332680704,0.995514,-0.005997,-0.024205,0.091267,1
1770837271432667392,0.995526,-0.004272,-0.023978,0.091300,1
1770837271532631040,0.995528,-0.004346,-0.023977,0.091275,1
1770837271632683520,0.995531,-0.003986,-0.023927,0.091268,1
1770837271732661760,0.995534,-0.003831,-0.023904,0.091251,1
1770837271832626176,0.995537,-0.003750,-0.023888,0.091216,1
1770837271932690176,0.995540,-0.003614,-0.023867,0.091198,1
1770837272032668160,0.995543,-0.003561,-0.023855,0.091173,1
1770837272132640512,0.995545,-0.003475,-0.023856,0.091149,1
1770837272232708352,0.995549,-0.003425,-0.023848,0.091118,1
