Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411670294163968,-1.608378806849942e-05,-4.057611022290075e-06,2.592875034679309e-06,2.231508688055328e-06,-1.843845166149549e-05,-0.009955476969480515
1773411670303857664,-1.32098566609784e-05,9.551840207677742e-08,5.190656793274684e-06,3.937298970413394e-06,-2.190379018429667e-05,-0.009958770126104355
1773411670313785856,-3.202693278581137e-06,-5.906981641601305e-06,5.455066911963513e-06,1.20093943678512e-06,-2.541293360991403e-05,-0.009963352233171463
1773411670324101632,-2.613434617160237e-06,-6.993875103944447e-06,2.870641537811025e-06,4.613561031874269e-06,-1.823250022425782e-05,-0.009958041831851006
1773411670334318080,4.875110334978672e-06,-1.435167860108777e-06,7.416393145831535e-06,3.085262733293348e-06,-2.54185597441392e-05,-0.009971554391086102
1773411670344435200,7.018873930064728e-06,-7.719478162471205e-06,1.405396346854104e-06,-4.980528274245444e-07,-2.15580494113965e-05,-0.009945833124220371
1773411670354452480,5.456461622088682e-06,4.542469923762837e-06,-3.944829245483561e-07,6.424049843190005e-07,-1.786783650459256e-05,-0.009962784126400948
1773411670364373760,1.025166284307488e-06,-3.287049366917927e-06,5.007184427086031e-06,1.781738063755256e-07,-1.657173925195821e-05,-0.009954599663615227
1773411670374202880,5.007854724681238e-06,-5.233065621723654e-06,3.473265337561315e-07,1.93062555808865e-06,-2.717347160796635e-05,-0.00997019000351429
1773411670383937024,2.842180492734769e-06,-8.423492545261979e-06,1.823600257466751e-07,-1.779062586138025e-07,-2.456788570270874e-05,-0.00996751245111227
1773411670393577728,1.348873183815158e-06,-3.353225565660978e-06,1.815605855881586e-06,2.893834107453586e-06,-2.557929474278353e-05,-0.009956241585314274
1773411670403955200,7.711220860073809e-06,-3.086603783231112e-06,3.919205482816324e-06,1.639515403439873e-06,-2.687029336811975e-05,-0.009955026209354401
1773411670414236416,-4.040033672936261e-06,2.02461546905397e-06,4.252378857927397e-06,3.746839638552046e-06,-2.426061473670416e-05,-0.009962145239114761
1773411670424421632,-4.946464741806267e-06,-4.625433575711213e-06,1.582737809258106e-06,3.195600584149361e-08,-2.104487066389993e-05,-0.009968234226107597
1773411670434504448,5.495495770446723e-06,-3.223084604542237e-06,1.205583203045535e-06,2.138889612979256e-06,-2.006003705901094e-05,-0.009960968047380447
1773411670444498176,-5.955896085652057e-06,9.505218940830673e-07,-4.122390606653425e-08,2.800809170366847e-06,-2.002165092562791e-05,-0.009960796684026718
1773411670454407680,1.736701619847736e-06,2.267564838120961e-07,1.61519824359857e-06,-3.913345608452801e-06,-2.2706792151439e-05,-0.009962648153305054
1773411670464222464,-1.593186652826262e-06,-6.864618171675829e-06,4.682539838540833e-06,1.586901134942309e-06,-2.423031583020929e-05,-0.009952095337212086
1773411670473942784,-6.165559625515016e-06,-1.877692398011277e-06,1.937688011821592e-06,8.034339771256782e-07,-2.457351365592331e-05,-0.009969019331037998
1773411670483812096,-7.582976195408264e-06,6.560627298313193e-06,-1.431801933904353e-06,5.871019311598502e-06,-2.117133408319205e-05,-0.009964278899133205
1773411670494146560,2.942743719813734e-07,2.845398512363317e-06,5.366526238503866e-06,-1.135816432906722e-06,-1.938601599249523e-05,-0.00996872503310442
1773411670504379904,-5.489359864441212e-06,-1.998148491111351e-06,2.884002697101096e-06,-8.383381100429688e-08,-2.587844755908009e-05,-0.009955499321222305
1773411670514515968,2.937778731393337e-07,-6.814238531660521e-06,1.193625735140813e-06,4.670388534577796e-06,-2.051338924502488e-05,-0.00995057076215744
1773411670524550912,-1.028910446621012e-05,-1.017068143482902e-06,3.986834599345457e-06,-1.918210500662099e-06,-2.40644676523516e-05,-0.009966688230633736
1773411670534489344,-3.982369889854454e-06,3.967007614846807e-06,7.355740194725513e-08,-1.710828428258537e-06,-2.091897840728052e-05,-0.009962597861886024
1773411670544331008,3.002043058586423e-06,-1.593084135720346e-07,-1.148394304095746e-07,2.343300366192125e-06,-2.056745142908767e-05,-0.00997465755790472
1773411670554074880,1.123211973208527e-06,-6.278298315010034e-06,3.321744372897228e-07,-1.649504042688932e-06,-2.645517088240013e-05,-0.009954633191227913
1773411670563724032,-6.853192644484807e-06,4.384370129173476e-07,6.718546956108185e-06,5.980492005619453e-06,-2.0866184058832e-05,-0.009960560128092766
1773411670573869568,3.375510686964844e-06,-4.040105977765052e-06,4.810495283891214e-06,4.890363470622106e-06,-2.295161721121985e-05,-0.009959375485777855
1773411670584168448,-3.172877995893941e-06,-7.800081220921129e-06,3.340471266710665e-06,3.862988251057686e-06,-2.453863999107853e-05,-0.009956259280443192
1773411670594367488,-1.216874920828559e-06,-5.774709734396311e-06,2.771381559796282e-06,3.104966481259908e-06,-2.340381979593076e-05,-0.009970623999834061
1773411670604465664,-2.958721324830549e-06,-7.304126484086737e-06,9.581011909176596e-06,-1.178056322714838e-06,-2.263056740048341e-05,-0.009959934279322624
1773411670614466048,-2.625319268645399e-07,-5.201497401685629e-07,3.525048896335647e-06,-3.776178118641838e-06,-2.412171306787059e-05,-0.009963614866137505
1773411670624367872,-2.348457201151177e-06,2.756039236828656e-07,1.67651293736526e-07,5.26382791576907e-06,-2.319955819984898e-05,-0.009957117959856987
1773411670634173440,2.783017407637089e-06,-5.343836619431386e-06,4.555168288788991e-06,3.863994152197847e-06,-1.767789217410609e-05,-0.009954621084034443
1773411670643886848,-1.591404270584462e-06,4.511896349868039e-06,3.212220917703235e-06,5.178272658667993e-06,-2.16167391045019e-05,-0.009967831894755363
1773411670653605888,-5.382925792218884e-06,-2.645398581080372e-06,4.277058451407356e-06,5.17596299687284e-06,-2.457963455526624e-05,-0.009953133761882782
1773411670663965440,-4.531605100055458e-06,2.339075081181363e-06,3.498958676573238e-06,1.065447577275336e-05,-2.285883601871319e-05,-0.009987786412239075
