Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773426551571272192,2.792794248307473e-06,-1.692809291853337e-06,-0.009972745552659035
1773426551581406208,2.054395054074121e-06,1.991264980460983e-05,-0.009953067637979984
1773426551591442688,6.801034942327533e-06,2.395535193500109e-05,-0.00996361393481493
1773426551601385216,1.903335578390397e-05,4.354126213002019e-05,-0.009965342469513416
1773426551611269120,6.253729952732101e-05,0.0001501966034993529,-0.009964628145098686
1773426551621036800,2.576695442257915e-05,6.330374890239909e-05,-0.009952233172953129
1773426551630711296,-8.363082451978698e-05,-0.0001940705260494724,-0.009972825646400452
1773426551640935168,-2.058529025816824e-05,-2.022938861045986e-05,-0.009954161942005157
1773426551651224064,1.334838657385262e-06,1.873952351161279e-05,-0.00995679572224617
1773426551661416704,1.412230176356388e-06,1.471450104872929e-05,-0.009964128956198692
1773426551671518464,3.08944959215296e-06,1.35898280859692e-05,-0.009957741945981979
1773426551681524992,-1.213640416608541e-06,1.212312599818688e-05,-0.009963330812752247
1773426551691436032,6.498763468698598e-06,1.299728319281712e-05,-0.009962473995983601
1773426551701276160,2.264212355385098e-07,2.056027733488008e-05,-0.009966917335987091
1773426551711011584,-5.953327217866899e-07,1.618852911633439e-05,-0.009955625981092453
1773426551720735488,-2.692873522391892e-06,1.16294868348632e-05,-0.009958941489458084
1773426551731081472,-1.046858187692123e-06,1.370474728901172e-05,-0.009965097531676292
1773426551741330176,5.548127319343621e-06,1.680147033766843e-05,-0.009961363859474659
1773426551751483136,-9.660190016802517e-07,1.955020161403809e-05,-0.009965797886252403
1773426551761537792,1.72129239217611e-06,1.16370792966336e-05,-0.009968308731913567
1773426551771497472,1.040486608872015e-06,2.006214890570845e-05,-0.009950338862836361
1773426551781361408,-1.107798198063392e-06,3.648327401606366e-05,-0.009962063282728195
1773426551791167744,6.667156412731856e-05,0.0001002090575639158,-0.01000217162072659
1773426551800840448,0.0001390352699672803,0.0004042019427288324,-0.009892691858112812
1773426551810761472,3.379257395863533e-05,-4.638484824681655e-06,-0.01002708077430725
1773426551821070336,-3.164423833368346e-05,5.19140885444358e-05,-0.009883951395750046
1773426551831283968,0.0001112363606807776,0.0002571468940004706,-0.009953651577234268
1773426551841402880,-0.0001114183833124116,-0.0003417602856643498,-0.009970832616090775
1773426551851425280,6.850037607364357e-06,-0.001408852986060083,-0.01102947443723679
1773426551861351168,-0.0002038862148765475,0.001261061639524996,-0.008708109147846699
1773426551871182592,-3.216736513422802e-05,0.0004384011263027787,-0.009522797539830208
1773426551880944128,4.848653043154627e-05,-0.000722182507161051,-0.01072241365909576
1773426551890602496,2.394081093370914e-06,-6.652490992564708e-05,-0.01007586065679789
1773426551900890880,-5.044802946940763e-06,0.0003107292577624321,-0.009711879305541515
1773426551911162624,-1.836872979765758e-05,0.0003257449134252965,-0.009668136946856976
1773426551921338880,1.294734283874277e-05,-0.0002348175621591508,-0.01022972539067268
1773426551931422976,4.491841991693946e-06,-7.058875780785456e-06,-0.01000489015132189
1773426551941411072,-7.065287718432955e-06,0.0001834018476074561,-0.009821111336350441
1773426551951304448,-4.153736881562509e-06,7.916970935184509e-05,-0.009917382150888443
1773426551970850304,1.100463305192534e-05,4.103027822566219e-05,-0.009954727254807949
1773426551980635648,3.318733888590941e-06,0.0001151251053670421,-0.009876684285700321
1773426551990967808,7.981328053574543e-06,-0.0001197723031509668,-0.0100840600207448
1773426552001202944,7.706564247200731e-06,-0.0001045653189066797,-0.01008243300020695
1773426552011342592,-4.908261416858295e-06,2.751922693278175e-05,-0.009950980544090271
1773426552021389312,4.878217168879928e-06,5.616841372102499e-05,-0.009928362444043159
1773426552031341312,2.450099236739334e-05,6.307913281489164e-05,-0.009923885576426983
1773426552041202176,0.0001096634368877858,-2.496599154255819e-05,-0.01002266723662615
1773426552050995968,0.0001234771334566176,-4.653215000871569e-05,-0.01005045883357525
1773426552060670464,-0.0001198793543153442,-0.0002422920661047101,-0.01022534072399139
1773426552070898176,-8.548988262191415e-05,6.736875366186723e-05,-0.009935100562870502
