ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
F606495C00000000,D19DA601,61DDC633,592D0000,12000000,4C000000,2AA10000,F4110000,E4F6FFFF,0C1B0000,03190000
5C07495C00000000,D89DA601,66DDC633,592D0000,12000000,4C000000,4AA10000,F6110000,ECF6FFFF,221B0000,23190000
BE07495C00000000,DE9DA601,6BDDC633,592D0000,12000000,4C000000,66A10000,F8110000,F4F6FFFF,371B0000,3F190000
2308495C00000000,E39DA601,6FDDC633,592D0000,12000000,4C000000,80A10000,FA110000,FAF6FFFF,4D1B0000,59190000
8808495C00000000,E89DA601,72DDC633,592D0000,12000000,4C000000,97A10000,FB110000,00F7FFFF,621B0000,70190000
EB08495C00000000,EC9DA601,76DDC633,592D0000,12000000,4C000000,A9A10000,FD110000,05F7FFFF,781B0000,82190000
5109495C00000000,F09DA601,78DDC633,592D0000,12000000,4C000000,BAA10000,FE110000,0AF7FFFF,8D1B0000,93190000
B309495C00000000,F49DA601,7BDDC633,592D0000,12000000,4C000000,C8A10000,FF110000,0EF7FFFF,A21B0000,A1190000
160A495C00000000,F79DA601,7DDDC633,592D0000,12000000,4C000000,CFA10000,01120000,11F7FFFF,B71B0000,A8190000
7A0A495C00000000,F99DA601,7FDDC633,592D0000,12000000,4C000000,D4A10000,02120000,14F7FFFF,CC1B0000,AD190000
E00A495C00000000,FB9DA601,80DDC633,592D0000,12000000,4C000000,D8A10000,02120000,17F7FFFF,E01B0000,B1190000
430B495C00000000,FD9DA601,82DDC633,592D0000,12000000,4C000000,D8A10000,03120000,19F7FFFF,F51B0000,B1190000
A90B495C00000000,FF9DA601,83DDC633,592D0000,12000000,4C000000,D9A10000,04120000,1BF7FFFF,0B1C0000,B2190000
0C0C495C00000000,009EA601,84DDC633,592D0000,12000000,4C000000,DCA10000,05120000,1CF7FFFF,201C0000,B5190000
710C495C00000000,019EA601,84DDC633,592D0000,12000000,4C000000,DEA10000,05120000,1DF7FFFF,341C0000,B7190000
D50C495C00000000,029EA601,85DDC633,592D0000,12000000,4C000000,DFA10000,06120000,1DF7FFFF,491C0000,B8190000
370D495C00000000,029EA601,85DDC633,592D0000,12000000,4C000000,E3A10000,07120000,1EF7FFFF,5D1C0000,BC190000
9E0D495C00000000,039EA601,86DDC633,592D0000,12000000,4C000000,E7A10000,07120000,1EF7FFFF,721C0000,C0190000
010E495C00000000,039EA601,86DDC633,592D0000,12000000,4C000000,EBA10000,08120000,1DF7FFFF,871C0000,C4190000
660E495C00000000,049EA601,87DDC633,592D0000,12000000,4C000000,F0A10000,09120000,1DF7FFFF,9B1C0000,C9190000
CA0E495C00000000,059EA601,87DDC633,592D0000,12000000,4C000000,F4A10000,0A120000,1CF7FFFF,B01C0000,CD190000
2D0F495C00000000,069EA601,88DDC633,592D0000,12000000,4C000000,F8A10000,0A120000,1BF7FFFF,C41C0000,D1190000
930F495C00000000,079EA601,89DDC633,592D0000,12000000,4C000000,FCA10000,0B120000,1AF7FFFF,D81C0000,D5190000
F20F495C00000000,089EA601,8ADDC633,592D0000,12000000,4C000000,FEA10000,0B120000,18F7FFFF,ED1C0000,D7190000
5910495C00000000,0A9EA601,8BDDC633,592D0000,12000000,4C000000,00A20000,0B120000,17F7FFFF,011D0000,D9190000
BE10495C00000000,0B9EA601,8CDDC633,592D0000,12000000,4C000000,FFA10000,0B120000,15F7FFFF,151D0000,D8190000
2211495C00000000,0D9EA601,8DDDC633,592D0000,12000000,4C000000,FEA10000,0B120000,13F7FFFF,291D0000,D7190000
8511495C00000000,0F9EA601,8EDDC633,592D0000,12000000,4C000000,FCA10000,0B120000,10F7FFFF,3D1D0000,D5190000
EA11495C00000000,119EA601,90DDC633,592D0000,12000000,4C000000,F9A10000,0B120000,0EF7FFFF,511D0000,D2190000
4E12495C00000000,139EA601,91DDC633,592D0000,12000000,4C000000,F7A10000,0B120000,0BF7FFFF,661D0000,D0190000
B412495C00000000,169EA601,93DDC633,592D0000,12000000,4C000000,F4A10000,0A120000,08F7FFFF,7A1D0000,CD190000
1613495C00000000,199EA601,95DDC633,592D0000,12000000,4C000000,F1A10000,0A120000,05F7FFFF,8F1D0000,CA190000
7D13495C00000000,1C9EA601,97DDC633,592D0000,12000000,4C000000,EEA10000,09120000,01F7FFFF,A21D0000,C7190000
E013495C00000000,1F9EA601,9ADDC633,592D0000,12000000,4C000000,ECA10000,08120000,FDF6FFFF,B71D0000,C5190000
4314495C00000000,229EA601,9CDDC633,592D0000,12000000,4C000000,E8A10000,07120000,F9F6FFFF,CB1D0000,C1190000
